id:ID, de:START_ID, a:END_ID, tipo:TYPE, desde_anio:INT, hasta_anio:INT, order:INT
0,0,12,AUTHORED,,,1
1,1,12,AUTHORED,,,2
2,1,13,AUTHORED,,,1
3,2,14,AUTHORED,,,1
4,3,14,AUTHORED,,,2
5,0,15,AUTHORED,,,1
6,4,16,AUTHORED,,,1
7,5,16,AUTHORED,,,2
8,1,17,AUTHORED,,,1
9,0,17,AUTHORED,,,2
10,0,18,AUTHORED,,,1
11,3,19,AUTHORED,,,1
12,4,20,AUTHORED,,,1
13,5,21,AUTHORED,,,1
14,2,22,AUTHORED,,,1
15,4,23,AUTHORED,,,1
16,13,12,CITES,,,
17,14,12,CITES,,,
18,14,13,CITES,,,
19,15,13,CITES,,,
20,16,14,CITES,,,
21,16,17,CITES,,,
22,16,12,CITES,,,
23,17,13,CITES,,,
24,17,15,CITES,,,
25,21,16,CITES,,,
26,12,24,ABOUT,,,
27,12,26,ABOUT,,,
28,13,24,ABOUT,,,
29,13,25,ABOUT,,,
30,14,26,ABOUT,,,
31,15,27,ABOUT,,,
32,16,24,ABOUT,,,
33,16,28,ABOUT,,,
34,17,29,ABOUT,,,
35,18,24,ABOUT,,,
36,19,26,ABOUT,,,
37,20,24,ABOUT,,,
38,21,28,ABOUT,,,
39,21,29,ABOUT,,,
40,22,25,ABOUT,,,
41,23,24,ABOUT,,,
42,18,9,MENTIONS,,,
43,18,6,MENTIONS,,,
44,19,9,MENTIONS,,,
45,19,7,MENTIONS,,,
46,20,7,MENTIONS,,,
47,20,4,MENTIONS,,,
48,21,7,MENTIONS,,,
49,22,10,MENTIONS,,,
50,22,7,MENTIONS,,,
51,14,7,MENTIONS,,,
52,0,6,MEMBER_OF,2018,,
53,1,7,MEMBER_OF,2018,2024,
54,2,6,MEMBER_OF,2020,,
55,3,7,MEMBER_OF,2021,,
56,4,8,MEMBER_OF,2019,,
57,5,8,MEMBER_OF,2019,,
58,0,9,WORKED_ON,,,
59,1,9,WORKED_ON,,,
60,3,9,WORKED_ON,,,
61,2,10,WORKED_ON,,,
62,5,10,WORKED_ON,,,
63,4,11,WORKED_ON,,,
64,30,33,AUTHORED,,,1
65,30,34,AUTHORED,,,1
66,30,35,AUTHORED,,,1
67,30,36,AUTHORED,,,1
68,30,37,AUTHORED,,,1
69,30,38,AUTHORED,,,1
70,31,39,AUTHORED,,,1
71,31,40,AUTHORED,,,1
72,31,41,AUTHORED,,,1
73,31,42,AUTHORED,,,1
74,31,43,AUTHORED,,,1
75,31,44,AUTHORED,,,1
76,32,45,AUTHORED,,,1
77,32,46,AUTHORED,,,1
78,32,47,AUTHORED,,,1
79,32,48,AUTHORED,,,1
80,32,49,AUTHORED,,,1
81,32,50,AUTHORED,,,1
82,5,51,AUTHORED,,,1
83,5,52,AUTHORED,,,1
84,5,53,AUTHORED,,,1
85,4,54,AUTHORED,,,1
86,4,55,AUTHORED,,,1
87,4,56,AUTHORED,,,1
88,34,33,CITES,,,
89,36,33,CITES,,,
90,41,35,CITES,,,
91,45,41,CITES,,,
92,51,46,CITES,,,
93,54,41,CITES,,,
98,37,24,ABOUT,,,
99,38,24,ABOUT,,,
100,39,24,ABOUT,,,
101,40,24,ABOUT,,,
106,45,24,ABOUT,,,
111,50,24,ABOUT,,,
112,51,26,ABOUT,,,
113,52,26,ABOUT,,,
114,53,26,ABOUT,,,
115,54,28,ABOUT,,,
116,55,28,ABOUT,,,
117,56,25,ABOUT,,,
134,59,24,SUB_TEMA_DE,,,
135,60,24,SUB_TEMA_DE,,,
136,61,24,SUB_TEMA_DE,,,
137,33,59,ABOUT,,,
138,34,59,ABOUT,,,
139,35,59,ABOUT,,,
140,36,59,ABOUT,,,
141,41,60,ABOUT,,,
142,42,60,ABOUT,,,
143,43,60,ABOUT,,,
144,44,60,ABOUT,,,
145,46,61,ABOUT,,,
146,47,61,ABOUT,,,
147,48,61,ABOUT,,,
148,49,61,ABOUT,,,
149,5,65,REALIZA,0,2025,
150,5,66,REALIZA,,,
151,2,67,REALIZA,,,
152,30,68,REALIZA,,,
153,65,21,SOBRE,,,
154,66,21,SOBRE,,,
155,67,36,SOBRE,,,
156,68,45,SOBRE,,,
157,66,65,CONTRARRESTA,2025,,
158,33,62,PUBLICADO_EN,,,
159,34,62,PUBLICADO_EN,,,
160,35,62,PUBLICADO_EN,,,
161,36,62,PUBLICADO_EN,,,
162,37,62,PUBLICADO_EN,,,
163,38,62,PUBLICADO_EN,,,
164,39,62,PUBLICADO_EN,,,
165,40,62,PUBLICADO_EN,,,
166,41,63,PUBLICADO_EN,,,
167,42,63,PUBLICADO_EN,,,
168,43,63,PUBLICADO_EN,,,
169,44,63,PUBLICADO_EN,,,
170,45,63,PUBLICADO_EN,,,
171,46,63,PUBLICADO_EN,,,
172,47,63,PUBLICADO_EN,,,
173,48,63,PUBLICADO_EN,,,
174,49,64,PUBLICADO_EN,,,
175,50,64,PUBLICADO_EN,,,
176,51,64,PUBLICADO_EN,,,
177,52,64,PUBLICADO_EN,,,
178,53,64,PUBLICADO_EN,,,
179,54,64,PUBLICADO_EN,,,
180,55,64,PUBLICADO_EN,,,
181,56,64,PUBLICADO_EN,,,
182,31,6,MEMBER_OF,2019,,
183,32,8,MEMBER_OF,2022,,
184,30,7,MEMBER_OF,2023,,
185,1,69,MEMBER_OF,2024,,
